,text,text_clean
5214,"for Husserl the a priori designates principally that which is independent of all 
",husserl priori designates principally independent
5215,"psychological subjectivity. Cf. equally the Prolegomena. H usserl posits the a 
",psychological subjectivity cf equally prolegomena h usserl posits
5216,"priori conditions of knowledge as being the conditioned ""which can be discussed 
",priori conditions knowledge conditioned discussed
5217,"and investigated apart from all relation to the thinking subject and to the Idea of 
",investigated apart relation thinking subject idea
5218,"Subjectivity in science. L/, Prolegomena. E 
",subjectivity science l prolegomena e
5219,"p. 233, F- p. 259, G 
",p f p g
5220,"5. FTL, E - p. 246, F - p. 330, G - p. 218. 
",ftl e p f p g p
5221,"6. Ibid"" E - p. 249, F 
",ibid e p f
5222,"p. 334, G - p. 108. 
",p g p
5223,"7. Ibid., E - p. 248, F - p. 332, G - p. 220. Let us draw attention equally to the 
",ibid e p f p g p let us draw attention equally
5224,"Cartesian Meditations where Husserl speaks of an ""ontological"" a priori tied to 
",cartesian meditations husserl speaks ontological priori tied
5225,"the idea of the a priori constitution of the world, a formulation which signifies 
",idea priori constitution world formulation signifies
5226,"the elucidation of the a priori of the universal structure of the world. elf, E 
",elucidation priori universal structure world elf e
5227,"p. 137. F 
",p f
5228,"p. 116, G 
",p g
5229,"8. FTL, E - p. 251, F·· p. 335, G -- p. 222. 
",ftl e p f p g p
5230,"9. PL, E - p. 28, G - p. 28. 
",pl e p g p
5231,"10. "" ... such expressions as 'essential necessity' and 'essentially determined' forced 
",expressions essential necessity essentially determined forced
5232,"themselves upon us 
",upon us
5233,"phrases in which a definite concept of the Apriori. first 
",phrases definite concept apriori first
5234,"clarified and delimited by phenomenology, receives expressions."" eM. E - p.69. 
",clarified delimited phenomenology receives expressions em e p
5235,"F - p. 59, G 
",f p g
5236,"p. 103. Cf. also PL, E - p. 27. G - p. 27. In the Prolegomena Husserl 
",p cf also pl e p g p prolegomena husserl
5237,"posits a priori laws as being laws that would be under the jurisdiction of theory 
",posits priori laws laws would jurisdiction theory
5238,"as such, that is to say, under the general essence of the ideal unities which 
",say general essence ideal unities
5239,"constitute the theory of science. Ll. Prolegomena. E - p. 233. F pp. 258-59. G 
",constitute theory science prolegomena e p f pp g
5240,"II. The conjunction of the a priori and the formal was brought about in Kantian 
",ii conjunction priori formal brought kantian
5241,"critique. Let us here recall that this identification of the a priori and the formal 
",critique let us recall identification priori formal
5242,"was vigorously criticized by Scheler. who saw in this a fundamental error in the 
",vigorously criticized scheler saw fundamental error
5243,"Kantian system. Scheler, p. 74. 
",kantian system scheler p
5244,"12. In paragraph 65 of the Prolegomena Husserl considers the ideal conditions 
",paragraph prolegomena husserl considers ideal conditions
5245,"which make possible.a theory in generaL He is thus led to distinguish the ideal 
",make possiblea theory general thus led distinguish ideal
5246,"noetic conditions (founded a priori on the idea of consciousness as such) and the 
",noetic conditions founded priori idea consciousness
5247,"purely logical ideal conditions founded purely on the ""content"" 
",purely logical ideal conditions founded purely content
5248,"consciousness, a content which is itself properly understood as a priori. 
",consciousness content properly understood priori
5249,"13. Rene Scherer, La phenomenologie des ""recherches logiques"" de Husserl (Paris: 
",rene scherer la phenomenologie des recherches logiques de husserl paris
5250,"Presses Universitaires de France, 1967), p. 254. Our translation. ""The notion of 
",presses universitaires de france p translation notion
5251,"directed glance (visee, ahzielen), intention or act has already been admitted 
",directed glance visee ahzielen intention act already admitted
5252,"without further examination. It was, in effect, sufficient for the advancement of 
",without examination effect sufficient advancement
5253,"the preceding Investigations to establish a general distinction between the real 
",preceding investigations establish general distinction real
5254,"content of consciousness. its real parts or its lived content (""CClI). and its 
",content consciousness real parts lived content ccli
5255,"intentional content, irreal or ideal in the sense of signification, and, again, the 
",intentional content irreal ideal sense signification
5256,"real in the sense of the actually existing object. It was sufficient to free the 
",real sense actually existing object sufficient free
5257,"concept of consciousness from its psychological interpretation which would 
",concept consciousness psychological interpretation would
5258,"red uce consciousness to a web of psychic events, rendering incomprehensible the 
",red uce consciousness web psychic events rendering incomprehensible
5259,"domain of ideality and the objective laws which govern it. This was an ascendent 
",domain ideality objective laws govern ascendent
5260,"step: it led toward the formal a priori or generally, that of abstract ideality."" 
",step led toward formal priori generally abstract ideality
5261,"14 LI. Prolegomena, E - p. 233. F -- p. 258, G - p. 238. 
",li prolegomena e p f p g p
5262,"15. As Quentin Lauer remarks in Husserl's Philosophie comme science rigoureuse 
",quentin lauer remarks husserls philosophie comme science rigoureuse
5263,"(Paris: Presses Universitaires de France, 1955), notes pp. 154-163, even the 
",paris presses universitaires de france notes pp even
5264,"content of the science is a priori. ""It is 'constituted' as given in the intentionality 
",content science priori constituted given intentionality
5265,"of consciousness, which constitutes the objectivity ofthe formal and the material 
",consciousness constitutes objectivity ofthe formal material
5266,"sides, which makes it still more radically constitutive than the formal a priori of 
",sides makes still radically constitutive formal priori
5267,"Kant."" Our translation. All the notes in the original edition are not in the English 
",kant translation notes original edition english
5268,"translation, Phenomenology and the Crisis of Philosophy, trans. Quentin Lauer 
",translation phenomenology crisis philosophy trans quentin lauer
5269,"(New York: Harper and Row, 1965). 
",new york harper row
5270,"16. This is the sense of the principle which H usserl sets forth in the Formal and 
",sense principle h usserl sets forth formal
5271,"Transcendental Logic: ""To every operational law of the theory of forms there 
",transcendental logic every operational law theory forms
5272,"corresponds a priori a subjective law concerning constitutive subjectivity."" E-
",corresponds priori subjective law concerning constitutive subjectivity e
5273,"p. 182, F - p. 247, G - p. 162. 
",p f p g p
5274,"17. ""The subjective structures in question in the already described inquiries of a 
",subjective structures question already described inquiries
5275,"logic directed to the subjective has a congruity with the corresponding concepts 
",logic directed subjective congruity corresponding concepts
5276,"pertaining to the theory of objective logic which is obviously not a matter of 
",pertaining theory objective logic obviously matter
5277,"accidental psychological fact. They indicate an Apriori which is perfectly 
",accidental psychological fact indicate apriori perfectly
5278,"correlated with the Objective Apriori."" FTL, E - p. 182, F - p. 246, G - p. 162. 
",correlated objective apriori ftl e p f p g p
5279,"18. Scherer, p. 58. ""It is a question of unveiling the hidden lived-experiences (les 
",scherer p question unveiling hidden livedexperiences les
5280,"vecues) which are in correlation with the idealities defined in the first four 
",vecues correlation idealities defined first four
5281,"Investigations. A displacement of interest is witnessed, and the theme ofthe last 
",investigations displacement interest witnessed theme ofthe last
5282,"Investigation will properly be the uncovering of the acts by which the subject 
",investigation properly uncovering acts subject
5283,"grasps these idealities, through which it becomes conscious of idealities."" 
",grasps idealities becomes conscious idealities
5284,"Scherer, p. 57. Our translation. 
",scherer p translation
5285,"19. The formal, then, requires the ""placing into brackets"" of the empirical, of the 
",formal requires placing brackets empirical
5286,"psychic. But at the same time the formal obliges us to turn to the side of a no 
",psychic time formal obliges us turn side
5287,"longer psychological, but constitutive subjectivity. "" ... in return,"" writes 
",longer psychological constitutive subjectivity return writes
5288,"Scherer, ""what has awakened us to the idea of a possible indifference with regard 
",scherer awakened us idea possible indifference regard
5289,"to subjectivity, can be thought a priori as an object of a possible subjective 
",subjectivity thought priori object possible subjective
5290,"knowledge; this turnabout leads to the idea of a treatment of the subjective act, 
",knowledge turnabout leads idea treatment subjective act
5291,"not as a simple fact, but as pure possibility."" Scherer, p. 56. Our translation. And 
",simple fact pure possibility scherer p translation
5292,"he cites in support of this ""conversion toward the subjective"" the same text in 
",cites support conversion toward subjective text
5293,"which Husserl posits in explicit terms the correlation between ideal objects and 
",husserl posits explicit terms correlation ideal objects
5294,"constituting SUbjectivity: ""Now although it was made evident,"" wrote Husserl, 
",constituting subjectivity although made evident wrote husserl
5295,"""that ideal objects, in spite of the fact that they are formed in consciousness, have 
",ideal objects spite fact formed consciousness
5296,"their own being, being-in-themselves, there is nonetheless an important task 
",beinginthemselves nonetheless important task
5297,"here which has never seriously been seen nor embarked upon: the task, namely, 
",never seriously seen embarked upon task namely
5298,"of making this peculiar correlation bl:tween ideal objects of the purely logical 
",making peculiar correlation bltween ideal objects purely logical
5299,"sphere, and subjective psychic experiences as forming activity into a theme for 
",sphere subjective psychic experiences forming activity theme
5300,"research."" Phiinomenologische Psychologie (PP), p. 26, cited in Scherer, p. 57. 
",research phiinomenologische psychologie pp p cited scherer p
5301,"20. S. Bachelard comments that the phenomenological method is purely intuitive, 
",bachelard comments phenomenological method purely intuitive
5302,"for it aims at the uncovering of the profound sense of the world and of human 
",aims uncovering profound sense world human
5303,"being. Now, it is through this revelation that the idea of the a priori actively 
",revelation idea priori actively
5304,"emerges. ""But, this uncovering makes apparent the essences which call attention 
",emerges uncovering makes apparent essences call attention
5305,"to the a priori structures. And these a priori structures are revealed not only in 
",priori structures priori structures revealed
5306,"the objective world, but also in constituting SUbjectivity. This objective a priori 
",objective world also constituting subjectivity objective priori
5307,"cannot be 'philosophically intelligible' a priori unless it is referred precisely to 
",cannot philosophically intelligible priori unless referred precisely
5308,"the ultimate sources of intelligibility, that is to say, to the essential necessity 
",ultimate sources intelligibility say essential necessity
5309,"which governs the transcendental sphere. To comprehend the world, it is 
",governs transcendental sphere comprehend world
5310,"necessary to lay bare the essential laws which determine the manner in which the 
",necessary lay bare essential laws determine manner
5311,"objective world plunges its roots into transcendental subjectivity; in short, it is 
",objective world plunges roots transcendental subjectivity short
5312,"necessary to lay bare the subjective a priori. This a priori governs the set of the 
",necessary lay bare subjective priori priori governs set
5313,"constitutive functions of the ego."" S. Bachelard, La logique de Husserl (Paris: 
",constitutive functions ego bachelard la logique de husserl paris
5314,"Presses Universitaires de France, 1957), p. 265. Our translation. In English as A 
",presses universitaires de france p translation english
5315,"Study of Husserl's Logic. trans. L. Embree (Evanston: Northwestern University 
",study husserls logic trans l embree evanston northwestern university
5316,"Press, 1968). 
",press
5317,"21. "". . . to grasp in particular the already described relatedness of every 
",grasp particular already described relatedness every
5318,"straightforwardly derived Apriori to the antecedent Apriori of its constitution; 
",straightforwardly derived apriori antecedent apriori constitution
5319,"accordingly, to understand also the a priori apprehensibility of the correlation 
",accordingly understand also priori apprehensibility correlation
5320,"between object and constitutive consciousness."" FTL, E ~ p. 249, F ~ p. 334, G ~ 
",object constitutive consciousness ftl e p f p g
5321,"22. ""Now it is clear: Only by the aforesaid uncovering of the performance that 
",clear aforesaid uncovering performance
5322,"constitutes the being sense of the given world can we avoid every c.ountersensical 
",constitutes sense given world avoid every countersensical
5323,"absolutizing of this world's being and know, universally and in every respect, 
",absolutizing worlds know universally every respect
5324,"what we (as philosophers) are allowed to assign to that sense .... "" FTL, E ~ 
",philosophers allowed assign sense ftl e
5325,"pp. 243-44, F ~ p. 362, G - p. 215. 
",pp f p g p
5326,"23. Ibid., E ~ p. 165, F ~ p. 224, G ~ p. 147. 
",ibid e p f p g p
5327,"24. APS, p. 213. 
",aps p
5328,"25. Ibid. 
",ibid
5329,"26. Ibid. 
",ibid
5330,"27. Ibid., p. 218. ""The great theme of transcendental philosophy is consciousness in 
",ibid p great theme transcendental philosophy consciousness
5331,"general as a hierarchical structure of constitutive performances in which ever 
",general hierarchical structure constitutive performances ever
5332,"new levels or layers of ever new objectivities . .. are constituted."" Our 
",new levels layers ever new objectivities constituted
5333,"translation. 
",translation
5334,"28. FTL, E ~ p. 276, F ~ p. 367, G ~ p. 244. 
",ftl e p f p g p
5335,"29. ""Any 'objective' object, any object whatever (even an immanent one), points to a 
",objective object object whatever even immanent one points
5336,"structure, within the transcendental ego, that is governed by a rule. As 
",structure within transcendental ego governed rule
5337,"something the ego objectivates, something of which he is conscious in any 
",something ego objectivates something conscious
5338,"manner, the object indicates forthwith an universal rule governing possible 
",manner object indicates forthwith universal rule governing possible
5339,"other consciousnesses of it as identical - possible, as exemplifying essentially 
",consciousnesses identical possible exemplifying essentially
5340,"predelineated types. And naturally the same is true of any 'imaginable' object, 
",predelineated types naturally true imaginable object
5341,"anything conceivable as something intended. Transcendental subjectivity is not 
",anything conceivable something intended transcendental subjectivity
5342,"a chaos of intentional processes. Moreover, it is not a chaos of types of 
",chaos intentional processes moreover chaos types
5343,"constitution, each organized in itself by its relation to a kind or a form of 
",constitution organized relation kind form
5344,"intentional objects. In other words: the all ness of objects and types of objects 
",intentional objects words ness objects types objects
5345,"conceivable for me - transcendentally speaking; for me as transcendental ego ~ 
",conceivable transcendentally speaking transcendental ego
5346,"is no chaos: and correlatively the allness of the types of the infinite multiplicities, 
",chaos correlatively allness types infinite multiplicities
5347,"the types corresponding to types of objects, is not a chaos either: noetically those 
",types corresponding types objects chaos either noetically
5348,"multiplicities always belong together, in respect of their possible synthesis. 
",multiplicities always belong together respect possible synthesis
5349,"That indicates in advance a universal constitutive synthesis, in which 
",indicates advance universal constitutive synthesis
5350,"therefore all actual and possible objectivities (as actual and possible for the 
",therefore actual possible objectivities actual possible
5351,"transcendental ego), and correlatively all actual and possible modes of 
",transcendental ego correlatively actual possible modes
5352,"consciousness of them, are embraced."" We quote the whole passage. eM, E --
",consciousness embraced quote whole passage em e
5353,"pp. 53-54, F ~ p. 46, G - p. 90. 
",pp f p g p
5354,"30. FTL, E ~ p. 292, F ~ p. 387, G ~ p. 257. 
",ftl e p f p g p
5355,"31. Scherer, pp. 350-51. ""If, now,"" writes Scherer, ""we define empiricism not as a 
",scherer pp writes scherer define empiricism
5356,"radicalism diverted from its project while maintaining a fertile idea of reduction, 
",radicalism diverted project maintaining fertile idea reduction
5357,"but as an a posteriorism, and we contrast it to a rationalism founded on the 
",posteriorism contrast rationalism founded
5358,"position of an a priori, then phenomenology reveals to us lived-experience 
",position priori phenomenology reveals us livedexperience
5359,"(vecu) as the ultimate a priori, the source of all rationality. Because it is the 
",vecu ultimate priori source rationality
5360,"constant return to lived-through-experience which allows the rational 
",constant return livedthroughexperience allows rational
5361,"elucidation of experience, opening to us the access to the unity of its origin and 
",elucidation experience opening us access unity origin
5362,"that, as H usserl correctly said, prior to all theory of experience, it was a question 
",h usserl correctly said prior theory experience question
5363,"of the presence of animate beings acting in a natural environment. Before, that is 
",presence animate beings acting natural environment
5364,"to say, originarily, and it is for this reason that we weigh the lived-through-
",say originarily reason weigh livedthrough
5365,"experience, and that alone it is able to deliver itself to us if we elucidate it as it is, 
",experience alone able deliver us elucidate
5366,"in its universal a priori."" Our translation. 
",universal priori translation
5367,"32. Scherer. p. 342. 
",scherer p
5368,"33. Kern. pp. 60-61. 
",kern pp
5369,"34. Experience in the phenomenological sense is evidence. and evidence is the 
",experience phenomenological sense evidence evidence
5370,"fundamental character of intentionality Cf. eM. E - pp. 57-58. F .- p. 49. G-
",fundamental character intentionality cf em e pp f p g
5371,"p. 93. See also FTL E 
",p see also ftl e
5372,"p. 233. F 
",p f
5373,"p. 312. G - p. 206: ""Experience is the 
",p g p experience
5374,"performance in which for me. the experiencer, experienced being 'is there,' and is 
",performance experiencer experienced
5375,"there as it is. with the whole content and the mode of being that experience itself. 
",whole content mode experience
5376,"by the performance going on in its intentionality. attributes to it. .. 
",performance going intentionality attributes
5377,"35. Scherer. p. 351. 
",scherer p
5378,"36. eM. E· p. 74. F - p. 62. G - p. 108. 
",em e p f p g p
5379,"37. Ibid .. E - p. 71. F - p. 60. G - p. 105. 
",ibid e p f p g p
5380,"38. "" ... that nothing exists for me otherwise than by virtue of the actual and 
",nothing exists otherwise virtue actual
5381,"potential performance of my own consciousness."" FTL. E - p. 234. F - p. 314. G 
",potential performance consciousness ftl e p f p g
5382,"- p. 207. "" ... in my intentionality it is legitimated. it receives its content and its 
",p intentionality legitimated receives content
5383,"being-sense. Naturally the world for everyone presupposes that. in my ego - the 
",beingsense naturally world everyone presupposes ego
5384,"ego who says. with the universality in question here. ego cogito, and included in 
",ego says universality question ego cogito included
5385,"his actual and possible cogitata everything actual and possible for him .... "" 
",actual possible cogitata everything actual possible
5386,"FTL, E - p. 237, F- p. 318. G - p. 210. 
",ftl e p f p g p
5387,"39. ""It concerns the essence of subjectivity in general. which is unveiled through the 
",concerns essence subjectivity general unveiled
5388,"examples, but in a purely possible generality. It is a priori because it passes from 
",examples purely possible generality priori passes
5389,"the fact of a thought to the thinkable. to the unconditioned."" Scherer, p. 66. Our 
",fact thought thinkable unconditioned scherer p
5390,"transla ti on. 
",transla ti
5391,"40. Ibid., pp. 353-54. 
",ibid pp
5392,"41. eM, E - p. 137, F - p. 116, G - p. 164. ""Tracing the essence of such constitution 
",em e p f p g p tracing essence constitution
5393,"and its ego logical levels, we made visible an Apriori of a completely novel kind, 
",ego logical levels made visible apriori completely novel kind
5394,"namely the Apriori of constitution. We learned to distinguish, on the one hand, 
",namely apriori constitution learned distinguish one hand
5395,"the self-constitution of the ego for himself and in his primordial own-
",selfconstitution ego primordial
5396,"essentialness and. on the other hand, the constitution of all the aliennesses of 
",essentialness hand constitution aliennesses
5397,"various levels, by virtue of sources belonging to his own essentialness. There 
",various levels virtue sources belonging essentialness
5398,"resulted the all-embracing unity of the essential for belonging to the total 
",resulted allembracing unity essential belonging total
5399,"constitution accomplished in my own ego - the constitution as whose correlate 
",constitution accomplished ego constitution whose correlate
5400,"the Objective existing world, for me and for any ego whatever, is continually 
",objective existing world ego whatever continually
5401,"given beforehand, and goes on being shaped in its sense-strata, with a correlative 
",given beforehand goes shaped sensestrata correlative
5402,"Apriori form style. And this constitution is itself an Apriori."" 
",apriori form style constitution apriori
5403,"42. Ibid., E - p. 137, F - p. 116, G - p. 164. 
",ibid e p f p g p
5404,"43. FTL, E - p. 246, F - p. 330, G - p. 218. 
",ftl e p f p g p
5405,"44. Ibid., E - pp. 246-47. F - p. 330, G - p. 218. 
",ibid e pp f p g p
5406,"45. Ibid. 
",ibid
5407,"46. ""In this inquiry. the variation ofthe necessary initial example is the performance 
",inquiry variation ofthe necessary initial example performance
5408,"in which the 'eidos' should emerge and by means of which the evidence of the 
",eidos emerge means evidence
5409,"indissoluble eidetic correlation between constitution and constituted should 
",indissoluble eidetic correlation constitution constituted
5410,"also emerge."" FTL. E - p. 247. F - p. 331, G - p. 219. 
",also emerge ftl e p f p g p
5411,"47. This correlation is nothing but the noetic-noematic correlation. the cogito and 
",correlation nothing noeticnoematic correlation cogito
5412,"the cogitatum qua cogitatum. Cf. FTL, E - p. 262, F - p. 349, G .. p. 231. 
",cogitatum qua cogitatum cf ftl e p f p g p
5413,"4X. ""It thus becomes evident that an ontic Apriori is possible. as a concretely full 
",x thus becomes evident ontic apriori possible concretely full
5414,"possibility, only as the correlate of a constitutional Apriori that is concretely 
",possibility correlate constitutional apriori concretely
5415,"united with it. concretely inseparable from it."" FTL. E - p. 248, F - p. 333, G-
",united concretely inseparable ftl e p f p g
5416,"p. 220. We understand here in what sense it is necessary to comprehend the 
",p understand sense necessary comprehend
5417,"concrete a priori to which Husserl so often refers. The concrete a priori 
",concrete priori husserl often refers concrete priori
5418,"designates the concrete unity of the ontic a priori and the constitutive a priori. 
",designates concrete unity ontic priori constitutive priori
5419,"49. The Husserlian theory of essence is expounded in paragraphs 1-16 of Ideas. We 
",husserlian theory essence expounded paragraphs ideas
5420,"are referring here to the work of Iso Kern, Husserl und Kant, pp. 55-62. Cf. also 
",referring work iso kern husserl und kant pp cf also
5421,"E. Levinas, La tMorie de I'intuition dans fa phenomenofogie de Husserl (Paris: 
",e levinas la tmorie de iintuition dans fa phenomenofogie de husserl paris
5422,"Felix Alcan, 
",felix alcan
5423,"1930), pp. 142-174; Eng. trans. A Orianne (Evanston: 
",pp eng trans orianne evanston
5424,"Northwestern University Press, 1973). 
",northwestern university press
5425,"50. ""The essence (eidos) is a new kind of object. Just as the given of individual or 
",essence eidos new kind object given individual
5426,"experiencing intuition is an individual object, the given of eidetic intuition is a 
",experiencing intuition individual object given eidetic intuition
5427,"pure essence."" Our translation. Ideas, E - p. 49, F - p. 21, G 
",pure essence translation ideas e p f p g
5428,"p. 14 (pp. 10-11 in 
",p pp
5429,"1913 ed.) 
",ed
5430,"51. ""But, precisely with this coinciding, what necessarily persists throughout this 
",precisely coinciding necessarily persists throughout
5431,"free and always-repeatable variation comes to the fore: the invariant, the 
",free alwaysrepeatable variation comes fore invariant
5432,"indissoluble identical in the different and ever again different, the essence 
",indissoluble identical different ever different essence
5433,"common to all, the universal essence by which all 'imaginable' variants of the 
",common universal essence imaginable variants
5434,"example, and all variants of any such variant, are restricted. This invariant is the 
",example variants variant restricted invariant
5435,"ontic essential form (a priori form), the eidos, corresponding to the example. in 
",ontic essential form priori form eidos corresponding example
5436,"place of which any variant of the example could have served equally well."" FTL, 
",place variant example could served equally well ftl
5437,"E - p. 248. F - p. 332. G 
",e p f p g
5438,"52. APS, Beilage XVII, p. 403. 
",aps beilage xvii p
5439,"53. This is what Levinas shows very clearly in La theorie de I'intuition. 'The 
",levinas shows clearly la theorie de iintuition
5440,"individual object,"" he writes, ""is an indispensable base for the perception of 
",individual object writes indispensable base perception
5441,"essence. The mode of existence of the ideal object directs us, in some way, to the 
",essence mode existence ideal object directs us way
5442,"individual object, implying a relation to it. But the existence of the individual 
",individual object implying relation existence individual
5443,"object does not play the role of a premise in eidetic knowledge. It is independent 
",object play role premise eidetic knowledge independent
5444,"of the 'actuality' of the individual objects,"" p. 156. 
",actuality individual objects p
5445,"54. APS, p. 213. 
",aps p
5446,"55. ""Presented here is not a mere external analogy but, rather, a radical 
",presented mere external analogy rather radical
5447,"commonality. Also, eidetic intuition is an intuition, just as the eidetic object is an 
",commonality also eidetic intuition intuition eidetic object
5448,"object. The generalization of the concepts 'intuition' and 'object,' which belong 
",object generalization concepts intuition object belong
5449,"together correlatively is not an arbitrary idea. but, rather. is one compellingly 
",together correlatively arbitrary idea rather one compellingly
5450,"required by the nature of things (Sachen)."" Our translation. Ideas. E - p. 49. F 
",required nature things sachen translation ideas e p f
5451,"pp. 21-22, G - pp. 14-15 (p. II in 1913 ed.). 
",pp g pp p ii ed
5452,"56. "" ... the intuitive grasping and positing of essences does not in the least imply the 
",intuitive grasping positing essences least imply
5453,"positing of an individual existent; pure eidetic truths do not in the least contain 
",positing individual existent pure eidetic truths least contain
5454,"assertions concerning facts. Therefore. one cannot infer from eidetic truths 
",assertions concerning facts therefore one cannot infer eidetic truths
5455,"alone any truths concerning facts."" Our translation. Ideas. E - p. 51. F - p. 25, G 
",alone truths concerning facts translation ideas e p f p g
5456,"- p. 17 (p. 13 in 1913 ed.). 
",p p ed
5457,"57. "" ... as a result, no eidetic intuition is possible without the free possibility of 
",result eidetic intuition possible without free possibility
5458,"turning one's regard to a 'corresponding' individual and becoming conscious of 
",turning ones regard corresponding individual becoming conscious
5459,"it as example - just as, conversely. no intuition of an individual is possible 
",example conversely intuition individual possible
5460,"without the free possibility of performing ideation and by this directing the 
",without free possibility performing ideation directing
5461,"regard to the essence which is exemplified in the individual seen. However, this 
",regard essence exemplified individual seen however
5462,"does not alter the fact that both kinds of intuition are in principle different."" Our 
",alter fact kinds intuition principle different
5463,"translation. Ideas, E - p. 50, F - p. 23. G - pp. 15-16 (2. 12 in 1913 ed.). 
",translation ideas e p f p g pp ed
5464,"5X. Ricoeur remarks quite correctly that essence is the pure signification which is 
",x ricoeur remarks quite correctly essence pure signification
5465,"fulfilled in eidetic intuition. Ideas, F - p. 18, n. 5. Essence is thus the correlate of 
",fulfilled eidetic intuition ideas f p n essence thus correlate
5466,"each individual fact. 
",individual fact
5467,"59. In the sixth Logical Investigation, Husserl identifies the essence and the general. 
",sixth logical investigation husserl identifies essence general
5468,"Categorial intuition which grasps the general is an act founded on empirical 
",categorial intuition grasps general act founded empirical
5469,"intuition; thus is constituted a new sphere of objectivities ""given in themselves 
",intuition thus constituted new sphere objectivities given
5470,"and sustained by fundamental acts."" Our translation. 
",sustained fundamental acts translation
5471,"60. ""The material a priori,"" writes M. Dufrenne. ""is not material solely through its 
",material priori writes dufrenne material solely
5472,"content, but also according to its mode of presence."" La notion d'a priori(Paris: 
",content also according mode presence la notion da prioriparis
5473,"Presses Universitaires de France, 1959), p. 107; Eng. trans. E.S. Casey 
",presses universitaires de france p eng trans es casey
5474,"(Evanston: Northwestern II niversity Press, 1966). 
",evanston northwestern ii niversity press
5475,"61. See L/, E - p. 792 (Vol. II, paragraph 48), F - p. 136 (Tome 3), G - p. 152 (Band 
",see l e p vol ii paragraph f p tome g p band
5476,"HI). ""Categorical acts are characterized as founded acts."" 
",hi categorical acts characterized founded acts
5477,"62. ""Eidetic intuition could not be a criterion for the a priori, their evidence is not 
",eidetic intuition could criterion priori evidence
5478,"primarily logical, it is first of all sensuous."" Dufrenne, p. 118. Our translation. 
",primarily logical first sensuous dufrenne p translation
5479,"63. eM, E -- pp. 71-72, F - pp. 60-61, G - pp. 105-06. 
",em e pp f pp g pp
5480,"64. Ideas, E - p. 50, F - p. 23, G - p. 16 (p. 12 in 1913 ed.). 
",ideas e p f p g p p ed
5481,"65. eM, E .- pp. 83-84, F - p. 70, G - p. 117. 
",em e pp f p g p
5482,"66. Here it is necessary to understand the concrete a priori in the sense of the 
",necessary understand concrete priori sense
5483,"universal concrete life of the transcendental ego. We then see that Husserl 
",universal concrete life transcendental ego see husserl
5484,"entirely constituted an a priori system distinguishing within the a priori different 
",entirely constituted priori system distinguishing within priori different
5485,"levels. We pass, in effect, from the a priori of sensible intuition, which is the a 
",levels pass effect priori sensible intuition
5486,"priori of nature which surrounds us, to the constitutive a priori, that is to say, to 
",priori nature surrounds us constitutive priori say
5487,"the a priori of phenomenon, finally arriving at the higher level, the a priori of 
",priori phenomenon finally arriving higher level priori
5488,"idealizing acts. Cf. eM, E - p. 146, F - p. 125, G - p. 173. 
",idealizing acts cf em e p f p g p
5489,"67. It is in the fourth Meditation that this idea of pure possibilities enclosed in the 
",fourth meditation idea pure possibilities enclosed
5490,"transcendental ego, itself a pure possibility, is thrown into relief: ""To me as the 
",transcendental ego pure possibility thrown relief
5491,"meditating ego, guided by the idea of a philosophy as the all-embracing science, 
",meditating ego guided idea philosophy allembracing science
5492,"grounded with absolute strictness, a science I took as a tentative basis, it 
",grounded absolute strictness science took tentative basis
5493,"becomes evident after these last considerations that, first of all, I must develop a 
",becomes evident last considerations first must develop
5494,"purely eidetic phenomenology and that in the latter alone the first actualization 
",purely eidetic phenomenology latter alone first actualization
5495,"of a philosophical science - the actualization of a 'first philosophy' - takes place 
",philosophical science actualization first philosophy takes place
5496,"or can take place. After transcendental reduction, my true interest is direct to my 
",take place transcendental reduction true interest direct
5497,"pure ego, to the uncovering of this de facto ego. But the uncovering can become 
",pure ego uncovering de facto ego uncovering become
5498,"genuinely scientific, only if I go back to the apodictic principles that pertain to 
",genuinely scientific go back apodictic principles pertain
5499,"this ego as exemplifying the eidos ego: the essential universalities and necessities 
",ego exemplifying eidos ego essential universalities necessities
5500,"by means of which the fact is to be related to its rational grounds (those of pure 
",means fact related rational grounds pure
5501,"possibility) and thus made scientific (logical). It should be noted that, in the 
",possibility thus made scientific logical noted
5502,"transition from my ego to an ego as such, neither the actuality nor the possibility 
",transition ego ego neither actuality possibility
5503,"of other egos is presupposed. I phantasy only myself as if I were otherwise; I do 
",egos presupposed phantasy otherwise
5504,"not phantasy others. In itself, then, the science of pure possibilities precedes the 
",phantasy others science pure possibilities precedes
5505,"science of actualities and alone makes it possible as a science. With this we attain 
",science actualities alone makes possible science attain
5506,"the methodological insight that, alone with phenomenological reduction, eidetic 
",methodological insight alone phenomenological reduction eidetic
5507,"intuition is the fundamental form of all particular transcendental methods (that 
",intuition fundamental form particular transcendental methods
5508,"both of them determine, through and through, the legitimate sense of a 
",determine legitimate sense
5509,"transcendental phenomenology)."" eM, E - p. 72, F - p. 61, G-p. 106. We quote 
",transcendental phenomenology em e p f p gp quote
5510,"the whole paragraph. 
",whole paragraph
5511,"68. Bachelard, p. 265. 
",bachelard p
5512,"69. ""The 'phenomenological self-explication' that went on in my ego, this 
",phenomenological selfexplication went ego
5513,"explication of all my ego's constitutings and all the objectivities existing for him, 
",explication egos constitutings objectivities existing
